Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.7158658,0.5003878,9.485821,-0.39999998,-29.4,-45.0,-0.0063852,-0.0031926,-0.0148988,,0.037377458,-0.0188518,-0.9973181,0.060034696
-0.7218513,0.4955994,9.490609,-0.39999998,-30.0,-45.0,-0.0074494,-0.0031926,-0.015963,,0.03735222,-0.018803969,-0.9973297,0.059871446
-0.730231,0.5063733,9.507368,-0.39999998,-30.0,-45.0,-0.0063852,-0.0031926,-0.0148988,,0.03734247,-0.018778453,-0.99733734,0.059760388
-0.7134716,0.502782,9.490609,-0.39999998,-28.8,-44.4,-0.0074494,-0.0031926,-0.0148988,,0.03731931,-0.018742267,-0.9973475,0.059615448
-0.71826,0.5279211,9.495398,-0.39999998,-28.8,-44.4,-0.0074494,-0.0031926,-0.0170272,,0.037289627,-0.018685004,-0.9973604,0.059436668
-0.7314281,0.4967965,9.461879,-0.39999998,-28.8,-44.4,-0.0074494,-0.0031926,-0.0148988,,0.03726269,-0.018612755,-0.9973756,0.059219036
-0.7134716,0.5111617,9.496594,-0.39999998,-31.2,-43.8,-0.0074494,-0.0031926,-0.015963,,0.037256427,-0.018609168,-0.9973801,0.059150554
-0.7266397,0.490811,9.485821,-0.39999998,-31.2,-43.8,-0.0063852,-0.005321,-0.0148988,,0.037238594,-0.018562587,-0.9973906,0.058997273
-0.7146687,0.5255269,9.4882145,-1.6,-31.8,-43.8,-0.0085136,-0.0042568,-0.0148988,,0.037199583,-0.018542435,-0.9974005,0.058860455
-0.6907267,0.5075704,9.490609,-1.6,-31.8,-43.8,-0.0063852,-0.0042568,-0.0148988,,0.037161924,-0.018496457,-0.99741006,0.05873838
-0.7050919,0.5051762,9.506171,-1.6,-30.0,-45.6,-0.0085136,-0.0042568,-0.0148988,,0.037116084,-0.018449096,-0.99742264,0.058568005
-0.7170629,0.5339066,9.501383,-1.6,-30.0,-45.6,-0.0063852,-0.0031926,-0.015963,,0.037089847,-0.018416075,-0.99743074,0.058456264
-0.7086832,0.5087675,9.481032,-0.39999998,-30.6,-44.4,-0.0074494,-0.0031926,-0.0148988,,0.03706538,-0.01838056,-0.99744135,0.05830203
